enumerator,Michael Sam-7
session,034
treatment,Insurance information
desk,04
debug,False
population,church
subgroup,AoG Abundant Life
age,
gender,1
birthplace,1
accra,1
married,1
ethnicity,1
ethnicity_other,99
education,1
left_ghana,1
left_ghana_location,99
work_status,1
work_status_other,99
work_sector,1
work_sector_other,99
income_source,1
income_source_other,99
weekly_monthly,1
income_individual,9
income_month_household,
financial_decision,2
financial_decision_other,99
care_0,0
care_1,0
care_2,0
care_3,0
care_4,0
care_live_0,0
care_live_1,0
care_live_2,0
care_live_3,0
care_live_4,0
transport_weekly,
food_weekly,14
monthly_expenses_0,0
monthly_expenses_1,0
monthly_expenses_2,0
monthly_expenses_3,0
monthly_expenses_amount_0,
monthly_expenses_amount_1,
monthly_expenses_amount_2,
monthly_expenses_amount_3,
business_investment,
business_ownership,0
business_length,1
business_employees,
religion,1
religion_other,99
religion_birth,1
denomination,1
denomination_other,99
different_church,1
church_reasons_0,0
church_reasons_1,0
church_reasons_2,0
church_reasons_3,0
church_reasons_4,0
church_reasons_5,0
church_reasons_6,0
church_reasons_7,0
church_reasons_8,0
church_reasons_9,0
church_reasons_other,99
church_assistance,0
church_attendance,1
church_ministry_0,0
church_ministry_1,0
church_ministry_2,0
church_ministry_3,0
church_ministry_4,0
church_ministry_5,0
church_ministry_6,0
church_ministry_7,0
church_ministry_8,0
church_ministry_9,0
church_ministry_10,0
church_ministry_hours_0,na
church_ministry_hours_1,na
church_ministry_hours_2,na
church_ministry_hours_3,na
church_ministry_hours_4,na
church_ministry_hours_5,na
church_ministry_hours_6,na
church_ministry_hours_7,na
church_ministry_hours_8,na
church_ministry_hours_9,na
church_ministry_hours_10,na
church_length,1
church_distance,1
church_move,1
church_convince_0,0
church_convince_1,0
church_convince_2,0
church_convince_3,0
church_convince_4,0
church_convince_5,0
pray,1
food,1
alcohol,1
alcohol_reasons,1
clothing,1
newborn_0,0
newborn_1,0
newborn_2,0
newborn_3,0
newborn_4,0
newborn_5,0
newborn_other,99
family_death,2
family_death_other,99
spiritual_attack,1
church_giving,
tithes,0
church_debt,99
charity,99
god_finances,99
closefriends,99
coworkers,99
business_partners,99
help_family_0,0
help_family_1,0
help_family_2,0
help_family_3,0
help_family_4,0
help_family_5,0
help_family_6,0
help_family_7,0
help_family_8,0
help_family_9,0
help_family_other,99
help_financial_0,0
help_financial_1,0
help_financial_2,0
help_financial_3,0
help_financial_4,0
help_financial_5,0
help_financial_6,0
help_financial_7,0
help_financial_8,0
help_financial_other,99
help_health_0,0
help_health_1,0
help_health_2,0
help_health_3,0
help_health_4,0
help_health_5,0
help_health_6,0
help_health_7,0
help_health_8,0
help_health_9,0
help_health_10,0
help_health_other,99
prayercamp,99
clubs,99
political_affiliation,99
political_taxes,99
spouse,99
spouse_other,99
trust_ghana,99
trust_ghana_govt,99
nih,99
nih_reason,99
other_insurance,99
other_insurance_specify,99
time,24031303
